problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_r2_100,HC (Simulated Annealing),-4233.796556853905,0.2187950611114502,10000.0,,,,
problem_r2_100,EC (Best),-4621.4609201514895,5.517510175704956,,150.0,300.0,100.0,"mu,lambda"
