problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_g_20,EC,1755.5146770830047,0.4255561828613281,50,100,100,mu+lambda,0.1
problem_g_20,EC,1755.5146770830047,0.4242441654205322,50,100,100,"mu,lambda",0.1
problem_g_20,EC,1755.514677083005,0.8514721393585205,50,200,100,mu+lambda,0.1
problem_g_20,EC,1755.5146770830047,0.8216869831085205,50,200,100,"mu,lambda",0.1
problem_g_20,EC,1755.514677083005,1.2409310340881348,50,300,100,mu+lambda,0.1
problem_g_20,EC,1755.514677083005,1.1772351264953613,50,300,100,"mu,lambda",0.1
problem_g_20,EC,1755.514677083005,0.5701029300689697,100,100,100,mu+lambda,0.1
problem_g_20,EC,1755.5146770830047,0.556638240814209,100,100,100,"mu,lambda",0.1
problem_g_20,EC,1755.5146770830047,1.0712358951568604,100,200,100,mu+lambda,0.1
problem_g_20,EC,1755.514677083005,1.1286756992340088,100,200,100,"mu,lambda",0.1
problem_g_20,EC,1755.5146770830047,1.684784173965454,100,300,100,mu+lambda,0.1
problem_g_20,EC,1755.5146770830047,1.6250581741333008,100,300,100,"mu,lambda",0.1
problem_g_20,EC,1755.5146770830047,0.686486005783081,150,100,100,mu+lambda,0.1
problem_g_20,EC,1755.5146770830052,0.5034880638122559,150,100,100,"mu,lambda",0.1
problem_g_20,EC,1755.5146770830052,1.291863203048706,150,200,100,mu+lambda,0.1
problem_g_20,EC,1755.514677083005,1.3102078437805176,150,200,100,"mu,lambda",0.1
problem_g_20,EC,1755.514677083005,2.0588700771331787,150,300,100,mu+lambda,0.1
problem_g_20,EC,1755.5146770830047,2.0317699909210205,150,300,100,"mu,lambda",0.1
problem_g_20,EC,1755.514677083005,0.4172511100769043,50,100,100,mu+lambda,0.2
problem_g_20,EC,1755.5146770830047,0.4230649471282959,50,100,100,"mu,lambda",0.2
problem_g_20,EC,1755.5146770830047,0.8343698978424072,50,200,100,mu+lambda,0.2
problem_g_20,EC,1755.514677083005,0.7348220348358154,50,200,100,"mu,lambda",0.2
problem_g_20,EC,1755.5146770830047,1.362478256225586,50,300,100,mu+lambda,0.2
problem_g_20,EC,1755.514677083005,1.2915441989898682,50,300,100,"mu,lambda",0.2
problem_g_20,EC,1755.5146770830047,0.5962798595428467,100,100,100,mu+lambda,0.2
problem_g_20,EC,1755.5146770830047,0.496675968170166,100,100,100,"mu,lambda",0.2
problem_g_20,EC,1755.5146770830047,1.070976972579956,100,200,100,mu+lambda,0.2
problem_g_20,EC,1755.5146770830052,1.0895500183105469,100,200,100,"mu,lambda",0.2
problem_g_20,EC,1755.514677083005,1.6195640563964844,100,300,100,mu+lambda,0.2
problem_g_20,EC,1755.5146770830047,1.6697688102722168,100,300,100,"mu,lambda",0.2
problem_g_20,EC,1755.5146770830047,0.6658821105957031,150,100,100,mu+lambda,0.2
problem_g_20,EC,1755.5146770830047,0.5558769702911377,150,100,100,"mu,lambda",0.2
problem_g_20,EC,1755.5146770830047,1.2854089736938477,150,200,100,mu+lambda,0.2
problem_g_20,EC,1755.5146770830047,1.2686200141906738,150,200,100,"mu,lambda",0.2
problem_g_20,EC,1755.5146770830052,2.07277512550354,150,300,100,mu+lambda,0.2
problem_g_20,EC,1755.5146770830052,1.8898890018463135,150,300,100,"mu,lambda",0.2
problem_g_20,EC,1755.514677083005,0.4267609119415283,50,100,100,mu+lambda,0.3
problem_g_20,EC,1755.5146770830047,0.40761804580688477,50,100,100,"mu,lambda",0.3
problem_g_20,EC,1755.5146770830047,0.8504009246826172,50,200,100,mu+lambda,0.3
problem_g_20,EC,1755.5146770830047,0.849841833114624,50,200,100,"mu,lambda",0.3
problem_g_20,EC,1755.514677083005,1.3784511089324951,50,300,100,mu+lambda,0.3
problem_g_20,EC,1755.514677083005,1.400848150253296,50,300,100,"mu,lambda",0.3
problem_g_20,EC,1755.514677083005,0.5087580680847168,100,100,100,mu+lambda,0.3
problem_g_20,EC,1755.5146770830047,0.5386612415313721,100,100,100,"mu,lambda",0.3
problem_g_20,EC,1755.5146770830047,1.0764448642730713,100,200,100,mu+lambda,0.3
problem_g_20,EC,1755.514677083005,1.1458301544189453,100,200,100,"mu,lambda",0.3
problem_g_20,EC,1755.5146770830047,1.4647867679595947,100,300,100,mu+lambda,0.3
problem_g_20,EC,1755.5146770830047,1.4180760383605957,100,300,100,"mu,lambda",0.3
problem_g_20,EC,1755.5146770830047,0.7444977760314941,150,100,100,mu+lambda,0.3
problem_g_20,EC,1755.5146770830047,0.6114599704742432,150,100,100,"mu,lambda",0.3
problem_g_20,EC,1755.5146770830047,1.1546850204467773,150,200,100,mu+lambda,0.3
problem_g_20,EC,1755.5146770830047,0.9327330589294434,150,200,100,"mu,lambda",0.3
problem_g_20,EC,1755.5146770830047,1.2886080741882324,150,300,100,mu+lambda,0.3
problem_g_20,EC,1755.5146770830047,1.284886121749878,150,300,100,"mu,lambda",0.3
