problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_g_20,HC (Simulated Annealing),1809.4071428865402,0.07671976089477539,10000.0,,,,
problem_g_20,EC (Best),1755.5146770830047,0.4255561828613281,,50.0,100.0,100.0,mu+lambda
