problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_r1_10,EC,184.27344079993898,0.3669438362121582,50,100,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993895,0.36403822898864746,50,100,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993895,0.7050368785858154,50,200,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993898,0.6970551013946533,50,200,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993895,1.0576677322387695,50,300,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993895,1.1430740356445312,50,300,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993898,0.5087699890136719,100,100,100,mu+lambda,0.1
problem_r1_10,EC,188.92735818372412,0.4789869785308838,100,100,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993895,0.9935159683227539,100,200,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993895,0.9488189220428467,100,200,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993895,1.4326872825622559,100,300,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993895,1.463576078414917,100,300,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993895,0.6386818885803223,150,100,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993898,0.439633846282959,150,100,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993895,1.2278759479522705,150,200,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993898,1.1743268966674805,150,200,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993895,1.7926609516143799,150,300,100,mu+lambda,0.1
problem_r1_10,EC,184.27344079993895,1.7751917839050293,150,300,100,"mu,lambda",0.1
problem_r1_10,EC,184.27344079993898,0.3640921115875244,50,100,100,mu+lambda,0.2
problem_r1_10,EC,188.92735818372412,0.338364839553833,50,100,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,0.7589859962463379,50,200,100,mu+lambda,0.2
problem_r1_10,EC,184.27344079993895,0.7425370216369629,50,200,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,1.043992042541504,50,300,100,mu+lambda,0.2
problem_r1_10,EC,184.27344079993895,1.1857209205627441,50,300,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,0.5357589721679688,100,100,100,mu+lambda,0.2
problem_r1_10,EC,188.92735818372412,0.519705057144165,100,100,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,0.9133520126342773,100,200,100,mu+lambda,0.2
problem_r1_10,EC,184.27344079993895,0.980064868927002,100,200,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,1.5258960723876953,100,300,100,mu+lambda,0.2
problem_r1_10,EC,184.27344079993895,1.4550158977508545,100,300,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993898,0.5848410129547119,150,100,100,mu+lambda,0.2
problem_r1_10,EC,188.92735818372412,0.5121400356292725,150,100,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,1.15830397605896,150,200,100,mu+lambda,0.2
problem_r1_10,EC,184.27344079993895,1.118635892868042,150,200,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,1.7484652996063232,150,300,100,mu+lambda,0.2
problem_r1_10,EC,184.27344079993895,1.65087890625,150,300,100,"mu,lambda",0.2
problem_r1_10,EC,184.27344079993895,0.3278672695159912,50,100,100,mu+lambda,0.3
problem_r1_10,EC,188.92735818372412,0.3581819534301758,50,100,100,"mu,lambda",0.3
problem_r1_10,EC,184.27344079993895,0.7754068374633789,50,200,100,mu+lambda,0.3
problem_r1_10,EC,184.27344079993895,0.7818279266357422,50,200,100,"mu,lambda",0.3
problem_r1_10,EC,184.27344079993895,1.1202831268310547,50,300,100,mu+lambda,0.3
problem_r1_10,EC,184.27344079993898,1.003147840499878,50,300,100,"mu,lambda",0.3
problem_r1_10,EC,188.92735818372412,0.5325131416320801,100,100,100,mu+lambda,0.3
problem_r1_10,EC,184.27344079993895,0.5240776538848877,100,100,100,"mu,lambda",0.3
problem_r1_10,EC,184.27344079993895,0.9320082664489746,100,200,100,mu+lambda,0.3
problem_r1_10,EC,188.92735818372412,0.9478981494903564,100,200,100,"mu,lambda",0.3
problem_r1_10,EC,184.27344079993895,1.3146169185638428,100,300,100,mu+lambda,0.3
problem_r1_10,EC,184.27344079993895,1.2224550247192383,100,300,100,"mu,lambda",0.3
problem_r1_10,EC,184.27344079993895,0.528123140335083,150,100,100,mu+lambda,0.3
problem_r1_10,EC,184.27344079993895,0.4637749195098877,150,100,100,"mu,lambda",0.3
problem_r1_10,EC,184.27344079993898,0.9752171039581299,150,200,100,mu+lambda,0.3
problem_r1_10,EC,184.27344079993895,0.9187180995941162,150,200,100,"mu,lambda",0.3
problem_r1_10,EC,184.27344079993898,1.253420114517212,150,300,100,mu+lambda,0.3
problem_r1_10,EC,184.27344079993898,1.2002649307250977,150,300,100,"mu,lambda",0.3
