problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_g_500,HC (Simulated Annealing),16658.68016922251,1.0343291759490967,10000.0,,,,
problem_g_500,EC (Best),15984.432642435473,98.69250893592834,,100.0,300.0,100.0,mu+lambda
