problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_r1_100,HC (Simulated Annealing),978.979949283783,0.20409488677978516,10000.0,,,,
problem_r1_100,EC (Best),802.6869031668848,3.2160837650299072,,50.0,200.0,100.0,"mu,lambda"
