problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_r1_50,EC,596.8334653553735,0.6793458461761475,50,100,100,mu+lambda,0.1
problem_r1_50,EC,632.5725236900635,0.7204329967498779,50,100,100,"mu,lambda",0.1
problem_r1_50,EC,649.6731059398726,1.351426124572754,50,200,100,mu+lambda,0.1
problem_r1_50,EC,607.5885384056199,1.3791110515594482,50,200,100,"mu,lambda",0.1
problem_r1_50,EC,660.9205116679234,2.0911459922790527,50,300,100,mu+lambda,0.1
problem_r1_50,EC,617.5361270061319,1.87546706199646,50,300,100,"mu,lambda",0.1
problem_r1_50,EC,639.2656702163647,0.8392891883850098,100,100,100,mu+lambda,0.1
problem_r1_50,EC,643.3869413994092,0.8254568576812744,100,100,100,"mu,lambda",0.1
problem_r1_50,EC,599.261442281011,1.5968017578125,100,200,100,mu+lambda,0.1
problem_r1_50,EC,570.584597620131,1.5657069683074951,100,200,100,"mu,lambda",0.1
problem_r1_50,EC,624.9528669150739,2.5243680477142334,100,300,100,mu+lambda,0.1
problem_r1_50,EC,618.9615085213869,2.5954999923706055,100,300,100,"mu,lambda",0.1
problem_r1_50,EC,622.4755040099193,0.9296708106994629,150,100,100,mu+lambda,0.1
problem_r1_50,EC,620.2647304814459,0.8444230556488037,150,100,100,"mu,lambda",0.1
problem_r1_50,EC,609.9638072871787,2.141026020050049,150,200,100,mu+lambda,0.1
problem_r1_50,EC,572.3625034205418,1.9839820861816406,150,200,100,"mu,lambda",0.1
problem_r1_50,EC,570.029728068529,2.7331290245056152,150,300,100,mu+lambda,0.1
problem_r1_50,EC,577.642292900455,2.955885171890259,150,300,100,"mu,lambda",0.1
problem_r1_50,EC,624.3921077020433,0.7171127796173096,50,100,100,mu+lambda,0.2
problem_r1_50,EC,602.3067444376319,0.7252197265625,50,100,100,"mu,lambda",0.2
problem_r1_50,EC,603.8203499042094,1.616243839263916,50,200,100,mu+lambda,0.2
problem_r1_50,EC,613.0989075009217,1.4815564155578613,50,200,100,"mu,lambda",0.2
problem_r1_50,EC,578.4356123413703,2.2290310859680176,50,300,100,mu+lambda,0.2
problem_r1_50,EC,671.4546461471417,2.3678369522094727,50,300,100,"mu,lambda",0.2
problem_r1_50,EC,673.0147229232535,0.9755349159240723,100,100,100,mu+lambda,0.2
problem_r1_50,EC,586.4409256445385,0.8744299411773682,100,100,100,"mu,lambda",0.2
problem_r1_50,EC,620.5358241076987,1.6830079555511475,100,200,100,mu+lambda,0.2
problem_r1_50,EC,606.7673326658758,1.4633946418762207,100,200,100,"mu,lambda",0.2
problem_r1_50,EC,585.5429206885208,2.590756893157959,100,300,100,mu+lambda,0.2
problem_r1_50,EC,608.6670857462046,2.4434449672698975,100,300,100,"mu,lambda",0.2
problem_r1_50,EC,584.7761135122247,1.0283958911895752,150,100,100,mu+lambda,0.2
problem_r1_50,EC,578.8203296685297,0.8772916793823242,150,100,100,"mu,lambda",0.2
problem_r1_50,EC,596.1042474908173,1.898583173751831,150,200,100,mu+lambda,0.2
problem_r1_50,EC,586.7733441888033,1.8161511421203613,150,200,100,"mu,lambda",0.2
problem_r1_50,EC,570.3405939518965,2.6813440322875977,150,300,100,mu+lambda,0.2
problem_r1_50,EC,595.0880819645134,2.8123419284820557,150,300,100,"mu,lambda",0.2
problem_r1_50,EC,618.1480411655521,0.688643217086792,50,100,100,mu+lambda,0.3
problem_r1_50,EC,606.8862721204786,0.676048994064331,50,100,100,"mu,lambda",0.3
problem_r1_50,EC,611.7492166129331,1.4188380241394043,50,200,100,mu+lambda,0.3
problem_r1_50,EC,622.3766529013851,1.340512990951538,50,200,100,"mu,lambda",0.3
problem_r1_50,EC,627.5629907899993,2.107819080352783,50,300,100,mu+lambda,0.3
problem_r1_50,EC,591.8843941118408,2.2053370475769043,50,300,100,"mu,lambda",0.3
problem_r1_50,EC,616.381796392981,0.8693101406097412,100,100,100,mu+lambda,0.3
problem_r1_50,EC,631.835127301695,0.9247879981994629,100,100,100,"mu,lambda",0.3
problem_r1_50,EC,624.7008667191935,1.6247999668121338,100,200,100,mu+lambda,0.3
problem_r1_50,EC,622.0280228457414,1.5751218795776367,100,200,100,"mu,lambda",0.3
problem_r1_50,EC,605.9810271040576,2.2560510635375977,100,300,100,mu+lambda,0.3
problem_r1_50,EC,608.6535841066986,2.408745050430298,100,300,100,"mu,lambda",0.3
problem_r1_50,EC,582.5821571957654,0.9955298900604248,150,100,100,mu+lambda,0.3
problem_r1_50,EC,614.7177312279566,0.8180952072143555,150,100,100,"mu,lambda",0.3
problem_r1_50,EC,616.418042833521,1.8078327178955078,150,200,100,mu+lambda,0.3
problem_r1_50,EC,607.4196608512652,1.623833179473877,150,200,100,"mu,lambda",0.3
problem_r1_50,EC,611.2834370358227,2.2800469398498535,150,300,100,mu+lambda,0.3
problem_r1_50,EC,561.2870859167022,2.2623610496520996,150,300,100,"mu,lambda",0.3
