problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_g_200,EC,8549.947692609301,4.750247955322266,50,100,100,mu+lambda,0.1
problem_g_200,EC,8309.553544737237,4.83306622505188,50,100,100,"mu,lambda",0.1
problem_g_200,EC,7899.605748395329,9.687140941619873,50,200,100,mu+lambda,0.1
problem_g_200,EC,8430.74908528065,10.073262691497803,50,200,100,"mu,lambda",0.1
problem_g_200,EC,8474.30982804347,15.136884927749634,50,300,100,mu+lambda,0.1
problem_g_200,EC,8504.793241436295,14.58119797706604,50,300,100,"mu,lambda",0.1
problem_g_200,EC,8366.104507602968,5.066254138946533,100,100,100,mu+lambda,0.1
problem_g_200,EC,8076.53798865834,5.107465982437134,100,100,100,"mu,lambda",0.1
problem_g_200,EC,8507.149250331615,10.09176516532898,100,200,100,mu+lambda,0.1
problem_g_200,EC,8750.526728229692,10.257748365402222,100,200,100,"mu,lambda",0.1
problem_g_200,EC,8669.029460184305,15.283764123916626,100,300,100,mu+lambda,0.1
problem_g_200,EC,8134.271850219262,14.339152812957764,100,300,100,"mu,lambda",0.1
problem_g_200,EC,8452.370352209562,5.335699796676636,150,100,100,mu+lambda,0.1
problem_g_200,EC,8225.508396059404,5.225025177001953,150,100,100,"mu,lambda",0.1
problem_g_200,EC,8288.164185107093,10.753066062927246,150,200,100,mu+lambda,0.1
problem_g_200,EC,8543.610948637992,9.96290898323059,150,200,100,"mu,lambda",0.1
problem_g_200,EC,8288.405919680261,14.911226034164429,150,300,100,mu+lambda,0.1
problem_g_200,EC,8355.967846644695,14.552446842193604,150,300,100,"mu,lambda",0.1
problem_g_200,EC,9051.028104966168,5.801091909408569,50,100,100,mu+lambda,0.2
problem_g_200,EC,8186.199434971616,5.776941776275635,50,100,100,"mu,lambda",0.2
problem_g_200,EC,9567.59593862566,10.806313037872314,50,200,100,mu+lambda,0.2
problem_g_200,EC,8750.033206340937,9.600005149841309,50,200,100,"mu,lambda",0.2
problem_g_200,EC,8405.038637689826,14.160964727401733,50,300,100,mu+lambda,0.2
problem_g_200,EC,8016.9462865669775,12.938591003417969,50,300,100,"mu,lambda",0.2
problem_g_200,EC,8717.326245325228,4.756232023239136,100,100,100,mu+lambda,0.2
problem_g_200,EC,8367.783156112775,4.89823579788208,100,100,100,"mu,lambda",0.2
problem_g_200,EC,7838.150282298187,9.828070163726807,100,200,100,mu+lambda,0.2
problem_g_200,EC,8430.926641527816,9.707205772399902,100,200,100,"mu,lambda",0.2
problem_g_200,EC,8200.778246596312,15.102328777313232,100,300,100,mu+lambda,0.2
problem_g_200,EC,8483.946930854721,14.236939907073975,100,300,100,"mu,lambda",0.2
problem_g_200,EC,8555.695001419655,5.205034971237183,150,100,100,mu+lambda,0.2
problem_g_200,EC,8466.407719073228,5.239508867263794,150,100,100,"mu,lambda",0.2
problem_g_200,EC,7815.73947431178,9.56955099105835,150,200,100,mu+lambda,0.2
problem_g_200,EC,8127.611677177377,9.487492084503174,150,200,100,"mu,lambda",0.2
problem_g_200,EC,8028.2957623594975,15.274316787719727,150,300,100,mu+lambda,0.2
problem_g_200,EC,8709.24775152696,15.398430109024048,150,300,100,"mu,lambda",0.2
problem_g_200,EC,9260.45435701311,4.8691792488098145,50,100,100,mu+lambda,0.3
problem_g_200,EC,9079.547854406906,4.857473850250244,50,100,100,"mu,lambda",0.3
problem_g_200,EC,8539.975759989384,8.66600227355957,50,200,100,mu+lambda,0.3
problem_g_200,EC,9722.728289138364,10.311649084091187,50,200,100,"mu,lambda",0.3
problem_g_200,EC,8960.331169753943,13.517836809158325,50,300,100,mu+lambda,0.3
problem_g_200,EC,8346.687369043579,13.342054843902588,50,300,100,"mu,lambda",0.3
problem_g_200,EC,8375.880824814985,4.980742931365967,100,100,100,mu+lambda,0.3
problem_g_200,EC,9112.049339151718,4.857897996902466,100,100,100,"mu,lambda",0.3
problem_g_200,EC,8200.137364582575,8.945192813873291,100,200,100,mu+lambda,0.3
problem_g_200,EC,8241.882384697563,9.798524856567383,100,200,100,"mu,lambda",0.3
problem_g_200,EC,8943.959074086437,12.627516984939575,100,300,100,mu+lambda,0.3
problem_g_200,EC,8114.267263054207,12.294348955154419,100,300,100,"mu,lambda",0.3
problem_g_200,EC,8144.156733367789,5.098728179931641,150,100,100,mu+lambda,0.3
problem_g_200,EC,7502.233719143013,4.656016111373901,150,100,100,"mu,lambda",0.3
problem_g_200,EC,8265.360497367916,8.359234094619751,150,200,100,mu+lambda,0.3
problem_g_200,EC,8915.894581509172,8.164124965667725,150,200,100,"mu,lambda",0.3
problem_g_200,EC,7805.4237872495405,10.826324939727783,150,300,100,mu+lambda,0.3
problem_g_200,EC,8494.719371799103,10.446733951568604,150,300,100,"mu,lambda",0.3
