problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_g_10,EC,1497.6636482252907,0.3675110340118408,50,100,100,mu+lambda,0.1
problem_g_10,EC,1497.663648225291,0.3559889793395996,50,100,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,0.7331240177154541,50,200,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,0.8094778060913086,50,200,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,1.0723857879638672,50,300,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,1.063011884689331,50,300,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,0.48840761184692383,100,100,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,0.4791891574859619,100,100,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,0.9570441246032715,100,200,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,0.9658849239349365,100,200,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,1.4001119136810303,100,300,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,1.5537290573120117,100,300,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,0.5778741836547852,150,100,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,0.36355090141296387,150,100,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,1.238544225692749,150,200,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,1.1627929210662842,150,200,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,1.806406021118164,150,300,100,mu+lambda,0.1
problem_g_10,EC,1497.6636482252907,1.5321426391601562,150,300,100,"mu,lambda",0.1
problem_g_10,EC,1497.6636482252907,0.3680410385131836,50,100,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,0.3462681770324707,50,100,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,0.7495460510253906,50,200,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,0.7463910579681396,50,200,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,1.0643949508666992,50,300,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,1.0876188278198242,50,300,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,0.4690709114074707,100,100,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,0.4882490634918213,100,100,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,0.9263529777526855,100,200,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,0.953704833984375,100,200,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,1.5078041553497314,100,300,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,1.2763662338256836,100,300,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,0.5562770366668701,150,100,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,0.5087831020355225,150,100,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,1.2811057567596436,150,200,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,1.131047248840332,150,200,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,1.7430531978607178,150,300,100,mu+lambda,0.2
problem_g_10,EC,1497.6636482252907,1.7487998008728027,150,300,100,"mu,lambda",0.2
problem_g_10,EC,1497.6636482252907,0.3567471504211426,50,100,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,0.3938477039337158,50,100,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,0.752094030380249,50,200,100,mu+lambda,0.3
problem_g_10,EC,1497.663648225291,0.7178390026092529,50,200,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,1.1244089603424072,50,300,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,1.1027460098266602,50,300,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,0.5057189464569092,100,100,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,0.4081079959869385,100,100,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,0.9223029613494873,100,200,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,0.9527480602264404,100,200,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,1.2299771308898926,100,300,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,1.2131881713867188,100,300,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,0.6013238430023193,150,100,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,0.46939897537231445,150,100,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,1.0508439540863037,150,200,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,0.9025468826293945,150,200,100,"mu,lambda",0.3
problem_g_10,EC,1497.6636482252907,1.2490661144256592,150,300,100,mu+lambda,0.3
problem_g_10,EC,1497.6636482252907,1.2354228496551514,150,300,100,"mu,lambda",0.3
