problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_r1_500,EC,3446.2631847446514,37.46449685096741,50,100,100,mu+lambda,0.1
problem_r1_500,EC,3431.669011424654,37.65079212188721,50,100,100,"mu,lambda",0.1
problem_r1_500,EC,3266.878899444804,66.42738890647888,50,200,100,mu+lambda,0.1
problem_r1_500,EC,3349.5591526892813,67.33935785293579,50,200,100,"mu,lambda",0.1
problem_r1_500,EC,3080.510965204991,108.78887176513672,50,300,100,mu+lambda,0.1
problem_r1_500,EC,3326.845729580696,107.05674004554749,50,300,100,"mu,lambda",0.1
problem_r1_500,EC,3392.299633535049,40.51771688461304,100,100,100,mu+lambda,0.1
problem_r1_500,EC,3492.8460662647385,40.55743098258972,100,100,100,"mu,lambda",0.1
problem_r1_500,EC,3150.8743215556146,72.7872838973999,100,200,100,mu+lambda,0.1
problem_r1_500,EC,2891.183257382308,71.57402610778809,100,200,100,"mu,lambda",0.1
problem_r1_500,EC,3029.2167984258463,106.99244379997253,100,300,100,mu+lambda,0.1
problem_r1_500,EC,3359.8831916875515,111.5666971206665,100,300,100,"mu,lambda",0.1
problem_r1_500,EC,3466.703386464714,42.52848410606384,150,100,100,mu+lambda,0.1
problem_r1_500,EC,3203.630361365608,42.51074719429016,150,100,100,"mu,lambda",0.1
problem_r1_500,EC,3020.8628432911837,76.36170697212219,150,200,100,mu+lambda,0.1
problem_r1_500,EC,3368.812289183385,82.83022809028625,150,200,100,"mu,lambda",0.1
problem_r1_500,EC,3059.6433738016744,110.2166337966919,150,300,100,mu+lambda,0.1
problem_r1_500,EC,2998.92137721341,111.5060760974884,150,300,100,"mu,lambda",0.1
problem_r1_500,EC,3419.3594045070286,37.275151014328,50,100,100,mu+lambda,0.2
problem_r1_500,EC,3448.585095676414,39.3199360370636,50,100,100,"mu,lambda",0.2
problem_r1_500,EC,3114.2025934988046,70.42226600646973,50,200,100,mu+lambda,0.2
problem_r1_500,EC,2938.537448865055,68.11900806427002,50,200,100,"mu,lambda",0.2
problem_r1_500,EC,3302.5946787135385,100.53446102142334,50,300,100,mu+lambda,0.2
problem_r1_500,EC,3245.8020694338247,98.1334331035614,50,300,100,"mu,lambda",0.2
problem_r1_500,EC,3330.0413502673846,42.37220573425293,100,100,100,mu+lambda,0.2
problem_r1_500,EC,3514.2065928276966,41.45428109169006,100,100,100,"mu,lambda",0.2
problem_r1_500,EC,3027.3017242393794,74.28934979438782,100,200,100,mu+lambda,0.2
problem_r1_500,EC,2934.9459972826726,65.69806504249573,100,200,100,"mu,lambda",0.2
problem_r1_500,EC,3113.4225543981324,100.3742949962616,100,300,100,mu+lambda,0.2
problem_r1_500,EC,3152.1551492745916,99.94659900665283,100,300,100,"mu,lambda",0.2
problem_r1_500,EC,3282.833710796276,39.61141800880432,150,100,100,mu+lambda,0.2
problem_r1_500,EC,3102.1819308751524,39.197508811950684,150,100,100,"mu,lambda",0.2
problem_r1_500,EC,3106.2936921428313,69.94111800193787,150,200,100,mu+lambda,0.2
problem_r1_500,EC,3344.943063348787,73.21444296836853,150,200,100,"mu,lambda",0.2
problem_r1_500,EC,3015.9722125646263,104.87682509422302,150,300,100,mu+lambda,0.2
problem_r1_500,EC,3120.191838092349,105.97541499137878,150,300,100,"mu,lambda",0.2
problem_r1_500,EC,3233.984857971004,35.169015884399414,50,100,100,mu+lambda,0.3
problem_r1_500,EC,3578.4481419630506,34.56796884536743,50,100,100,"mu,lambda",0.3
problem_r1_500,EC,3147.5964530769384,66.04688596725464,50,200,100,mu+lambda,0.3
problem_r1_500,EC,3330.6766082125596,66.1842679977417,50,200,100,"mu,lambda",0.3
problem_r1_500,EC,3097.4616439318343,93.73373317718506,50,300,100,mu+lambda,0.3
problem_r1_500,EC,3274.0827013249627,94.85739588737488,50,300,100,"mu,lambda",0.3
problem_r1_500,EC,3346.3497955267617,36.97267031669617,100,100,100,mu+lambda,0.3
problem_r1_500,EC,3273.6600045514,37.7138090133667,100,100,100,"mu,lambda",0.3
problem_r1_500,EC,3468.1593191791294,70.32850885391235,100,200,100,mu+lambda,0.3
problem_r1_500,EC,3357.492765370563,69.80328226089478,100,200,100,"mu,lambda",0.3
problem_r1_500,EC,3276.326466960938,90.74371695518494,100,300,100,mu+lambda,0.3
problem_r1_500,EC,3195.9580751997473,81.9057891368866,100,300,100,"mu,lambda",0.3
problem_r1_500,EC,3060.8991948898006,41.192601919174194,150,100,100,mu+lambda,0.3
problem_r1_500,EC,3186.2284608816835,40.67558765411377,150,100,100,"mu,lambda",0.3
problem_r1_500,EC,3013.9250000645516,59.444469928741455,150,200,100,mu+lambda,0.3
problem_r1_500,EC,3064.596874211111,58.5814847946167,150,200,100,"mu,lambda",0.3
problem_r1_500,EC,3127.2244105046257,69.09421300888062,150,300,100,mu+lambda,0.3
problem_r1_500,EC,3008.679274923602,69.78224110603333,150,300,100,"mu,lambda",0.3
