problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_r2_100,EC,-4375.869895833253,1.939927101135254,50,100,100,mu+lambda,0.1
problem_r2_100,EC,-4496.957786017517,1.778304100036621,50,100,100,"mu,lambda",0.1
problem_r2_100,EC,-4480.929597695166,3.4020049571990967,50,200,100,mu+lambda,0.1
problem_r2_100,EC,-4475.183231521014,3.556346893310547,50,200,100,"mu,lambda",0.1
problem_r2_100,EC,-4611.779141170221,5.302720069885254,50,300,100,mu+lambda,0.1
problem_r2_100,EC,-4558.374144649094,5.044034719467163,50,300,100,"mu,lambda",0.1
problem_r2_100,EC,-4513.716973182726,1.9544339179992676,100,100,100,mu+lambda,0.1
problem_r2_100,EC,-4533.347783727476,1.9368958473205566,100,100,100,"mu,lambda",0.1
problem_r2_100,EC,-4577.302008495426,3.7294600009918213,100,200,100,mu+lambda,0.1
problem_r2_100,EC,-4583.6841257565875,3.921374797821045,100,200,100,"mu,lambda",0.1
problem_r2_100,EC,-4576.122641585578,5.642026901245117,100,300,100,mu+lambda,0.1
problem_r2_100,EC,-4551.0990323604,5.630113840103149,100,300,100,"mu,lambda",0.1
problem_r2_100,EC,-4555.816627121915,2.101776123046875,150,100,100,mu+lambda,0.1
problem_r2_100,EC,-4589.187081478918,2.0003058910369873,150,100,100,"mu,lambda",0.1
problem_r2_100,EC,-4535.985372065244,3.967021942138672,150,200,100,mu+lambda,0.1
problem_r2_100,EC,-4556.439426760387,3.8458549976348877,150,200,100,"mu,lambda",0.1
problem_r2_100,EC,-4532.237468042322,5.549275875091553,150,300,100,mu+lambda,0.1
problem_r2_100,EC,-4513.161306240955,5.794801235198975,150,300,100,"mu,lambda",0.1
problem_r2_100,EC,-4574.571859118475,1.7197282314300537,50,100,100,mu+lambda,0.2
problem_r2_100,EC,-4437.5658994639825,1.7383842468261719,50,100,100,"mu,lambda",0.2
problem_r2_100,EC,-4448.614911984373,3.2817280292510986,50,200,100,mu+lambda,0.2
problem_r2_100,EC,-4433.307766641445,3.433940887451172,50,200,100,"mu,lambda",0.2
problem_r2_100,EC,-4489.740566029591,4.924213171005249,50,300,100,mu+lambda,0.2
problem_r2_100,EC,-4553.786390131028,4.573014736175537,50,300,100,"mu,lambda",0.2
problem_r2_100,EC,-4484.611838476119,1.7503721714019775,100,100,100,mu+lambda,0.2
problem_r2_100,EC,-4515.131609449133,1.691843032836914,100,100,100,"mu,lambda",0.2
problem_r2_100,EC,-4590.247175929805,3.1684927940368652,100,200,100,mu+lambda,0.2
problem_r2_100,EC,-4541.792509420274,3.186347007751465,100,200,100,"mu,lambda",0.2
problem_r2_100,EC,-4573.8394287347255,5.159493684768677,100,300,100,mu+lambda,0.2
problem_r2_100,EC,-4561.4682072670075,5.562891960144043,100,300,100,"mu,lambda",0.2
problem_r2_100,EC,-4499.746869229927,1.8657009601593018,150,100,100,mu+lambda,0.2
problem_r2_100,EC,-4533.726802202831,1.8989429473876953,150,100,100,"mu,lambda",0.2
problem_r2_100,EC,-4593.565306897743,3.6167819499969482,150,200,100,mu+lambda,0.2
problem_r2_100,EC,-4563.7537855282435,3.9058399200439453,150,200,100,"mu,lambda",0.2
problem_r2_100,EC,-4537.684785150934,5.304790019989014,150,300,100,mu+lambda,0.2
problem_r2_100,EC,-4621.4609201514895,5.517510175704956,150,300,100,"mu,lambda",0.2
problem_r2_100,EC,-4508.823428317436,1.599987268447876,50,100,100,mu+lambda,0.3
problem_r2_100,EC,-4559.778018736938,1.565540075302124,50,100,100,"mu,lambda",0.3
problem_r2_100,EC,-4413.713539948335,3.1734519004821777,50,200,100,mu+lambda,0.3
problem_r2_100,EC,-4493.62276971634,3.132485866546631,50,200,100,"mu,lambda",0.3
problem_r2_100,EC,-4502.34137395057,4.707057952880859,50,300,100,mu+lambda,0.3
problem_r2_100,EC,-4542.866478899594,4.6378138065338135,50,300,100,"mu,lambda",0.3
problem_r2_100,EC,-4485.852161514335,1.836310863494873,100,100,100,mu+lambda,0.3
problem_r2_100,EC,-4525.8962255394845,1.6846270561218262,100,100,100,"mu,lambda",0.3
problem_r2_100,EC,-4558.051570145183,3.3313839435577393,100,200,100,mu+lambda,0.3
problem_r2_100,EC,-4513.238166922883,3.6027588844299316,100,200,100,"mu,lambda",0.3
problem_r2_100,EC,-4575.834310702253,4.347225904464722,100,300,100,mu+lambda,0.3
problem_r2_100,EC,-4572.863558025898,4.2509870529174805,100,300,100,"mu,lambda",0.3
problem_r2_100,EC,-4460.1229734322005,1.8811070919036865,150,100,100,mu+lambda,0.3
problem_r2_100,EC,-4598.301640670323,1.7284832000732422,150,100,100,"mu,lambda",0.3
problem_r2_100,EC,-4615.879102704607,3.0765039920806885,150,200,100,mu+lambda,0.3
problem_r2_100,EC,-4526.366960547705,2.9747281074523926,150,200,100,"mu,lambda",0.3
problem_r2_100,EC,-4532.216596595528,3.8889877796173096,150,300,100,mu+lambda,0.3
problem_r2_100,EC,-4499.894476875208,3.776388168334961,150,300,100,"mu,lambda",0.3
