problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_r2_1000,EC,-45691.649034666756,131.51651096343994,50,100,100,mu+lambda,0.1
problem_r2_1000,EC,-46062.81041495771,130.5096070766449,50,100,100,"mu,lambda",0.1
problem_r2_1000,EC,-46211.59519610165,237.77880191802979,50,200,100,mu+lambda,0.1
problem_r2_1000,EC,-45975.92260245218,243.5114040374756,50,200,100,"mu,lambda",0.1
problem_r2_1000,EC,-46359.31229245926,340.84582710266113,50,300,100,mu+lambda,0.1
problem_r2_1000,EC,-46045.54098403567,344.1025950908661,50,300,100,"mu,lambda",0.1
problem_r2_1000,EC,-45921.779207085434,142.39019799232483,100,100,100,mu+lambda,0.1
problem_r2_1000,EC,-45698.83558485584,141.54379200935364,100,100,100,"mu,lambda",0.1
problem_r2_1000,EC,-45890.36836706368,258.9246311187744,100,200,100,mu+lambda,0.1
problem_r2_1000,EC,-46316.33814226674,253.43070816993713,100,200,100,"mu,lambda",0.1
problem_r2_1000,EC,-45931.59781084104,364.2036988735199,100,300,100,mu+lambda,0.1
problem_r2_1000,EC,-46318.71887034449,360.1795289516449,100,300,100,"mu,lambda",0.1
problem_r2_1000,EC,-46221.307433649396,142.36963391304016,150,100,100,mu+lambda,0.1
problem_r2_1000,EC,-45578.11446016352,147.48443293571472,150,100,100,"mu,lambda",0.1
problem_r2_1000,EC,-46118.14224225793,259.75857496261597,150,200,100,mu+lambda,0.1
problem_r2_1000,EC,-46083.88912976735,255.49373507499695,150,200,100,"mu,lambda",0.1
problem_r2_1000,EC,-46298.98709422842,362.25615787506104,150,300,100,mu+lambda,0.1
problem_r2_1000,EC,-46244.59867399888,366.80560398101807,150,300,100,"mu,lambda",0.1
problem_r2_1000,EC,-45739.81561649565,123.88121509552002,50,100,100,mu+lambda,0.2
problem_r2_1000,EC,-46252.20882911077,123.24120283126831,50,100,100,"mu,lambda",0.2
problem_r2_1000,EC,-46042.16651119439,236.75360321998596,50,200,100,mu+lambda,0.2
problem_r2_1000,EC,-46338.41388178562,226.78882718086243,50,200,100,"mu,lambda",0.2
problem_r2_1000,EC,-46083.0616798724,348.6346879005432,50,300,100,mu+lambda,0.2
problem_r2_1000,EC,-46318.301730023144,348.27998399734497,50,300,100,"mu,lambda",0.2
problem_r2_1000,EC,-45784.58798035224,138.09225225448608,100,100,100,mu+lambda,0.2
problem_r2_1000,EC,-45443.9839408118,137.61339116096497,100,100,100,"mu,lambda",0.2
problem_r2_1000,EC,-45893.50186526275,247.6147267818451,100,200,100,mu+lambda,0.2
problem_r2_1000,EC,-46018.53053319761,250.5951738357544,100,200,100,"mu,lambda",0.2
problem_r2_1000,EC,-46474.291378947746,356.5652618408203,100,300,100,mu+lambda,0.2
problem_r2_1000,EC,-46001.50694959885,360.85204577445984,100,300,100,"mu,lambda",0.2
problem_r2_1000,EC,-45997.42978089026,148.44408988952637,150,100,100,mu+lambda,0.2
problem_r2_1000,EC,-46048.07518027725,141.97555088996887,150,100,100,"mu,lambda",0.2
problem_r2_1000,EC,-46106.26788939815,251.48522901535034,150,200,100,mu+lambda,0.2
problem_r2_1000,EC,-45961.19321769115,260.40210008621216,150,200,100,"mu,lambda",0.2
problem_r2_1000,EC,-46464.69973378532,372.4301838874817,150,300,100,mu+lambda,0.2
problem_r2_1000,EC,-46209.782837817096,370.81870579719543,150,300,100,"mu,lambda",0.2
problem_r2_1000,EC,-45639.53724337667,127.96567392349243,50,100,100,mu+lambda,0.3
problem_r2_1000,EC,-45584.36353764924,127.66410875320435,50,100,100,"mu,lambda",0.3
problem_r2_1000,EC,-45666.955796501774,233.6280951499939,50,200,100,mu+lambda,0.3
problem_r2_1000,EC,-45354.897210969335,246.76107597351074,50,200,100,"mu,lambda",0.3
problem_r2_1000,EC,-46197.88229829385,341.6439790725708,50,300,100,mu+lambda,0.3
problem_r2_1000,EC,-46061.633611095735,341.96727991104126,50,300,100,"mu,lambda",0.3
problem_r2_1000,EC,-45643.56172297584,138.86353588104248,100,100,100,mu+lambda,0.3
problem_r2_1000,EC,-45872.948416099156,135.7084527015686,100,100,100,"mu,lambda",0.3
problem_r2_1000,EC,-46304.0270844123,241.00643515586853,100,200,100,mu+lambda,0.3
problem_r2_1000,EC,-45907.89345265719,242.58382296562195,100,200,100,"mu,lambda",0.3
problem_r2_1000,EC,-46436.57723588171,315.27992010116577,100,300,100,mu+lambda,0.3
problem_r2_1000,EC,-45577.21170240289,301.2687978744507,100,300,100,"mu,lambda",0.3
problem_r2_1000,EC,-45528.94181335574,147.99096775054932,150,100,100,mu+lambda,0.3
problem_r2_1000,EC,-46172.687358029034,146.2505841255188,150,100,100,"mu,lambda",0.3
problem_r2_1000,EC,-46210.9756576988,233.07670974731445,150,200,100,mu+lambda,0.3
problem_r2_1000,EC,-45818.434683083855,218.25083589553833,150,200,100,"mu,lambda",0.3
problem_r2_1000,EC,-46608.66874054959,274.5747048854828,150,300,100,mu+lambda,0.3
problem_r2_1000,EC,-46464.08705933724,249.7604649066925,150,300,100,"mu,lambda",0.3
