problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_r1_200,HC (Simulated Annealing),1865.9777904538566,0.36022496223449707,10000.0,,,,
problem_r1_200,EC (Best),1280.7457501012698,8.622575759887695,,50.0,200.0,100.0,"mu,lambda"
