problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_g_500,EC,18732.74459275704,33.77196407318115,50,100,100,mu+lambda,0.1
problem_g_500,EC,17879.541655446246,36.55957794189453,50,100,100,"mu,lambda",0.1
problem_g_500,EC,18449.015963673064,66.87511992454529,50,200,100,mu+lambda,0.1
problem_g_500,EC,16950.388495937616,63.37948393821716,50,200,100,"mu,lambda",0.1
problem_g_500,EC,17183.6492911633,100.21921896934509,50,300,100,mu+lambda,0.1
problem_g_500,EC,17648.635102004515,100.85874390602112,50,300,100,"mu,lambda",0.1
problem_g_500,EC,18076.866063385474,40.11060667037964,100,100,100,mu+lambda,0.1
problem_g_500,EC,16633.194804547747,38.784457206726074,100,100,100,"mu,lambda",0.1
problem_g_500,EC,17571.2377820178,68.77776098251343,100,200,100,mu+lambda,0.1
problem_g_500,EC,18378.228972746983,70.90959000587463,100,200,100,"mu,lambda",0.1
problem_g_500,EC,15984.432642435473,98.69250893592834,100,300,100,mu+lambda,0.1
problem_g_500,EC,17032.2016856597,103.24480414390564,100,300,100,"mu,lambda",0.1
problem_g_500,EC,17744.597373341352,42.656092166900635,150,100,100,mu+lambda,0.1
problem_g_500,EC,17087.522061291664,41.41147303581238,150,100,100,"mu,lambda",0.1
problem_g_500,EC,17763.11728327978,73.29748201370239,150,200,100,mu+lambda,0.1
problem_g_500,EC,17309.285467779217,76.5319139957428,150,200,100,"mu,lambda",0.1
problem_g_500,EC,17803.18341666135,102.19869375228882,150,300,100,mu+lambda,0.1
problem_g_500,EC,17270.13951773814,104.59745693206787,150,300,100,"mu,lambda",0.1
problem_g_500,EC,18022.52808330927,35.924744844436646,50,100,100,mu+lambda,0.2
problem_g_500,EC,17577.681509152506,36.240070819854736,50,100,100,"mu,lambda",0.2
problem_g_500,EC,18858.003794448767,68.86605477333069,50,200,100,mu+lambda,0.2
problem_g_500,EC,18060.49766823251,67.53537511825562,50,200,100,"mu,lambda",0.2
problem_g_500,EC,16690.94186355248,98.03779292106628,50,300,100,mu+lambda,0.2
problem_g_500,EC,16841.180533766295,91.85745596885681,50,300,100,"mu,lambda",0.2
problem_g_500,EC,17568.100341386333,40.46964406967163,100,100,100,mu+lambda,0.2
problem_g_500,EC,18427.507097755006,39.02569508552551,100,100,100,"mu,lambda",0.2
problem_g_500,EC,18613.925742372056,72.81753706932068,100,200,100,mu+lambda,0.2
problem_g_500,EC,18931.669323734284,74.84286999702454,100,200,100,"mu,lambda",0.2
problem_g_500,EC,17286.468658280253,102.46075916290283,100,300,100,mu+lambda,0.2
problem_g_500,EC,16586.789246637047,99.7318320274353,100,300,100,"mu,lambda",0.2
problem_g_500,EC,17299.48247744732,41.00395488739014,150,100,100,mu+lambda,0.2
problem_g_500,EC,18129.686598664004,42.86431312561035,150,100,100,"mu,lambda",0.2
problem_g_500,EC,16647.202686957182,73.61884999275208,150,200,100,mu+lambda,0.2
problem_g_500,EC,16840.277182987797,73.12304210662842,150,200,100,"mu,lambda",0.2
problem_g_500,EC,18327.29467824081,106.0544900894165,150,300,100,mu+lambda,0.2
problem_g_500,EC,16810.378058274502,98.15669298171997,150,300,100,"mu,lambda",0.2
problem_g_500,EC,16205.01022853955,33.47327494621277,50,100,100,mu+lambda,0.3
problem_g_500,EC,18868.457570536597,36.27531290054321,50,100,100,"mu,lambda",0.3
problem_g_500,EC,17635.716529685043,64.60112118721008,50,200,100,mu+lambda,0.3
problem_g_500,EC,17494.885190991452,67.20439410209656,50,200,100,"mu,lambda",0.3
problem_g_500,EC,17818.829359608495,89.72523999214172,50,300,100,mu+lambda,0.3
problem_g_500,EC,18810.9703845328,95.66761994361877,50,300,100,"mu,lambda",0.3
problem_g_500,EC,17040.312777739968,35.84378218650818,100,100,100,mu+lambda,0.3
problem_g_500,EC,17774.94031440556,36.68362903594971,100,100,100,"mu,lambda",0.3
problem_g_500,EC,18197.759963687502,66.14476799964905,100,200,100,mu+lambda,0.3
problem_g_500,EC,17106.382727143526,66.12002801895142,100,200,100,"mu,lambda",0.3
problem_g_500,EC,16855.897488262646,87.22793197631836,100,300,100,mu+lambda,0.3
problem_g_500,EC,16969.67654144558,80.023029088974,100,300,100,"mu,lambda",0.3
problem_g_500,EC,17817.925093221373,40.382184982299805,150,100,100,mu+lambda,0.3
problem_g_500,EC,17644.12713363825,40.3580048084259,150,100,100,"mu,lambda",0.3
problem_g_500,EC,17324.189496665243,58.7457799911499,150,200,100,mu+lambda,0.3
problem_g_500,EC,17436.682373420288,58.30530309677124,150,200,100,"mu,lambda",0.3
problem_g_500,EC,18455.900192881567,73.70461893081665,150,300,100,mu+lambda,0.3
problem_g_500,EC,17652.93696421325,68.6953239440918,150,300,100,"mu,lambda",0.3
