problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_r2_10,HC (Simulated Annealing),-340.0055246288031,0.06104302406311035,10000.0,,,,
problem_r2_10,EC (Best),-411.7017155524985,0.8464040756225586,,50.0,200.0,100.0,mu+lambda
