problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_r2_1000,HC (Simulated Annealing),-43939.11951968567,2.0086069107055664,10000.0,,,,
problem_r2_1000,EC (Best),-46608.66874054959,274.5747048854828,,150.0,300.0,100.0,mu+lambda
