problem,solver,best_fitness,execution_time,max_iterations,population_size,offspring_size,generations,strategy
problem_g_1000,HC (Simulated Annealing),35085.070013204786,1.7871050834655762,10000.0,,,,
problem_g_1000,EC (Best),30055.450717146625,344.7679181098938,,100.0,300.0,100.0,mu+lambda
